video_file,caption,hashtags,post_to_tiktok,post_to_instagram,post_to_facebook,post_to_youtube,scheduled_at,status,notes,tiktok_caption,instagram_caption,facebook_caption,zernio_media_url,zernio_profile_id,facebook_page_id,youtube_title,youtube_description,youtube_privacy
videos/archive/Interview on the Common #15.mov,I played Two Truths and a Lie with a stranger,#Boston #Interview #game #TwoTruths,true,true,false,true,2026-06-26T15:30:00-04:00,posted,,I played Two Truths and a Lie with a stranger,I played Two Truths and a Lie with a stranger,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2315-20260619230636.mov,,,I played Two Truths and a Lie with a stranger,"Ever meet someone in the Boston Common and immediately learn two truths and a lie about them? If not, you can experience it second-hand right here!",public
videos/archive/Interview on the Common #17.mov,What happens when you forget the most important thing at the airport?,#travel #Boston #Interview #passport,true,true,false,true,2026-06-22T20:15:00-04:00,posted,,What happens when you forget the most important thing at the airport?,What happens when you forget the most important thing at the airport?,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2317-20260622200659.mov,,,You'll never guess what her dad forgot at the airport!,"When Ria was heading off on a vacation with her family, her dad forgot something crucial! #travel #Boston #Interview #passport",public
videos/archive/Interview on the Common #18.mov,She brought WHAT on a date?!,#dating #NYC #cats #catlady,true,true,false,true,2026-06-29T15:30:00-04:00,posted,,She brought WHAT on a date?!,She brought WHAT on a date?!,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2318-20260622224430.mov,,,She brought WHAT on a date?!,"Ever show up for a date and immediately know its nots not going to work out? Well, this guy has! #dating #NYC #cats #catlady",public
videos/archive/Day in the Life Studying Abroad in New Zealand-20260623033757.mp4,A day in my life studying abroad in New Zealand,#travel #studyabroad #newzealand,false,false,true,false,2026-06-22T23:30:00-04:00,posted,facebook catch-up queue,A day in my life studying abroad in New Zealand,,A day in my life studying abroad in New Zealand,,,,,,private
videos/archive/Hiking through New Zealand - Study Abroad-20260624022438.mp4,Hiking through New Zealand while studying abroad,#travel #hiking #newzealand,false,false,true,false,2026-06-23T15:30:00-04:00,posted,facebook catch-up queue,Hiking through New Zealand while studying abroad,,Hiking through New Zealand while studying abroad,,,,,,private
"videos/archive/Study Abroad in Wellington, New Zealand-20260624022445.mp4","What study abroad in Wellington, New Zealand looked like for me",#travel #studyabroad #wellington,false,false,true,false,2026-06-23T20:00:00-04:00,posted,facebook catch-up queue,"What study abroad in Wellington, New Zealand looked like for me",,"What study abroad in Wellington, New Zealand looked like for me",,,,,,private
"videos/archive/Visiting World’s End in Hingham, Massachusetts-20260601204520-20260624142217.mp4","Visiting World’s End in Hingham, Massachusetts",#travel #massachusetts #newengland,false,false,true,false,2026-06-24T10:00:00-04:00,posted,facebook catch-up queue,"Visiting World’s End in Hingham, Massachusetts",,"Visiting World’s End in Hingham, Massachusetts",,,,,,private
videos/archive/Afternoon at Walden Pond-20260602003153-20260624213841.mp4,A quiet afternoon at Walden Pond,#travel #waldenpond #massachusetts,false,false,true,false,2026-06-24T15:30:00-04:00,posted,facebook catch-up queue,A quiet afternoon at Walden Pond,,A quiet afternoon at Walden Pond,,,,,,private
videos/archive/Niagara Falls & Toronto | Roadtrip Reunion with Study Abroad Friends-20260625000332.mp4,Niagara Falls and Toronto roadtrip reunion with study abroad friends,#travel #niagarafalls #toronto,false,false,true,false,2026-06-24T20:00:00-04:00,posted,facebook catch-up queue,Niagara Falls and Toronto roadtrip reunion with study abroad friends,,Niagara Falls and Toronto roadtrip reunion with study abroad friends,,,,,,private
videos/archive/Day Trip to Plum Island!-20260625140151.mp4,Day trip to Plum Island,#travel #plumisland #daytrip,false,false,true,false,2026-06-25T10:00:00-04:00,posted,facebook catch-up queue,Day trip to Plum Island,,Day trip to Plum Island,,,,,,private
